                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.54854,                0.40127,                 0.9382,                0.99497,                0.98746,                0.99169,                0.91153,                0.38893,                0.20329,                0.85936,               0.006535,               0.006535,               0.006535
                     38,                 0.5461,                0.40661,                 0.9323,                0.99687,                0.98536,                0.99202,                0.91321,                0.38824,                0.20026,                0.84964,               0.006436,               0.006436,               0.006436
                     39,                0.53925,                0.39949,                0.93386,                0.99682,                0.98478,                0.99169,                0.91242,                0.38558,                  0.198,                0.84992,               0.006337,               0.006337,               0.006337
                     40,                0.53957,                0.39572,                0.93095,                0.99569,                0.98483,                 0.9919,                0.91487,                0.37674,                0.19607,                0.84631,               0.006238,               0.006238,               0.006238
                     41,                  0.539,                 0.3931,                 0.9289,                0.99582,                0.98566,                0.99212,                0.91506,                 0.3756,                0.19336,                0.84461,               0.006139,               0.006139,               0.006139
                     42,                0.52923,                 0.3861,                0.92362,                 0.9967,                0.98479,                0.99241,                0.91618,                0.37217,                0.19065,                0.84137,                0.00604,                0.00604,                0.00604
                     43,                0.52711,                0.38909,                0.91845,                 0.9965,                0.98571,                0.99252,                 0.9179,                0.37296,                0.18987,                 0.8419,               0.005941,               0.005941,               0.005941
                     44,                0.52853,                0.39366,                0.92194,                0.99525,                0.98577,                0.99171,                0.91856,                0.36751,                0.19026,                0.83825,               0.005842,               0.005842,               0.005842
                     45,                  0.522,                0.38124,                0.91784,                 0.9941,                0.98634,                0.99177,                0.91861,                0.36782,                0.18835,                0.83978,               0.005743,               0.005743,               0.005743
                     46,                0.52071,                0.37893,                0.91891,                0.99575,                 0.9853,                0.99229,                0.92172,                0.36337,                0.18565,                0.83794,               0.005644,               0.005644,               0.005644
                     47,                 0.5159,                0.37541,                0.91701,                0.99453,                0.98685,                0.99248,                0.92352,                 0.3629,                0.18488,                0.83974,               0.005545,               0.005545,               0.005545
                     48,                0.52338,                0.38463,                0.92367,                0.99674,                0.98412,                0.99246,                0.92336,                0.35756,                0.18362,                0.83848,               0.005446,               0.005446,               0.005446
                     49,                 0.5109,                0.37104,                 0.9162,                0.99639,                0.98629,                0.99273,                0.92543,                0.35661,                0.18193,                0.83618,               0.005347,               0.005347,               0.005347
                     50,                0.50496,                0.37005,                0.91312,                0.99528,                  0.987,                0.99269,                0.92559,                0.35323,                0.18076,                0.83468,               0.005248,               0.005248,               0.005248
                     51,                 0.5079,                0.36991,                0.91001,                0.99513,                0.98704,                0.99265,                0.92587,                0.35262,                0.18066,                 0.8312,               0.005149,               0.005149,               0.005149
                     52,                0.49804,                0.36371,                0.91275,                0.99608,                0.98644,                0.99273,                0.92741,                0.35123,                0.18092,                0.83453,                0.00505,                0.00505,                0.00505
                     53,                0.50184,                 0.3646,                0.91496,                0.99497,                0.98767,                0.99279,                0.92853,                0.34675,                0.17844,                0.83359,               0.004951,               0.004951,               0.004951
                     54,                0.49781,                0.36359,                0.90859,                0.99572,                0.98765,                  0.993,                0.93025,                0.34478,                 0.1764,                0.83069,               0.004852,               0.004852,               0.004852
                     55,                0.49638,                0.35987,                 0.9073,                0.99555,                0.98766,                0.99263,                0.93138,                0.34191,                0.17509,                 0.8294,               0.004753,               0.004753,               0.004753
                     56,                0.49509,                0.36159,                0.90852,                0.99662,                0.98691,                0.99252,                0.93175,                0.34006,                0.17375,                0.82855,               0.004654,               0.004654,               0.004654
                     57,                0.49045,                0.35953,                0.90406,                0.99623,                0.98712,                0.99285,                0.93335,                0.33832,                0.17278,                0.82766,               0.004555,               0.004555,               0.004555
                     58,                0.48879,                0.35771,                0.90857,                 0.9971,                0.98633,                0.99288,                0.93379,                 0.3385,                0.17239,                 0.8293,               0.004456,               0.004456,               0.004456
                     59,                 0.4904,                0.35571,                0.90035,                0.99716,                0.98751,                0.99295,                0.93407,                0.33648,                0.17113,                0.82792,               0.004357,               0.004357,               0.004357
                     60,                0.48723,                0.35092,                0.90547,                0.99673,                0.98761,                0.99285,                0.93522,                0.33385,                0.16982,                0.82747,               0.004258,               0.004258,               0.004258
                     61,                0.47837,                0.34496,                0.90145,                0.99698,                0.98717,                0.99296,                0.93555,                0.33249,                 0.1696,                0.82637,               0.004159,               0.004159,               0.004159
                     62,                0.47405,                0.34115,                0.89565,                0.99672,                0.98738,                0.99307,                0.93598,                0.33148,                0.16936,                0.82462,                0.00406,                0.00406,                0.00406
                     63,                0.47714,                0.34622,                0.89625,                0.99692,                0.98777,                0.99328,                0.93682,                0.32945,                0.16845,                 0.8238,               0.003961,               0.003961,               0.003961
                     64,                0.47435,                0.33982,                0.89567,                0.99586,                0.98822,                0.99329,                0.93815,                0.32773,                0.16742,                0.82285,               0.003862,               0.003862,               0.003862
                     65,                0.47237,                0.34546,                0.89675,                0.99532,                 0.9885,                0.99334,                0.93851,                0.32584,                0.16692,                0.82197,               0.003763,               0.003763,               0.003763
                     66,                0.47182,                0.34241,                0.90077,                0.99568,                0.98855,                0.99319,                0.93887,                0.32495,                0.16645,                0.82308,               0.003664,               0.003664,               0.003664
                     67,                0.46866,                0.33776,                0.89535,                0.99613,                0.98851,                0.99324,                0.93931,                0.32365,                0.16547,                0.82194,               0.003565,               0.003565,               0.003565
                     68,                0.46464,                0.33375,                0.89316,                0.99627,                0.98842,                0.99324,                0.93896,                0.32159,                0.16464,                0.82126,               0.003466,               0.003466,               0.003466
                     69,                0.46509,                0.33719,                0.89647,                0.99681,                0.98828,                0.99336,                0.94023,                0.32036,                0.16435,                0.82118,               0.003367,               0.003367,               0.003367
                     70,                0.46347,                0.33566,                0.89387,                  0.995,                0.98934,                 0.9932,                0.94097,                0.31891,                0.16394,                0.82051,               0.003268,               0.003268,               0.003268
                     71,                0.46089,                 0.3348,                0.89168,                0.99622,                0.98906,                0.99334,                0.94115,                0.31711,                0.16348,                0.81959,               0.003169,               0.003169,               0.003169
                     72,                0.45278,                0.32659,                0.88606,                0.99586,                 0.9892,                0.99326,                0.94185,                0.31582,                0.16245,                0.81907,                0.00307,                0.00307,                0.00307
                     73,                0.45472,                0.33116,                0.88923,                0.99579,                0.98934,                 0.9933,                0.94186,                0.31421,                0.16174,                0.81838,               0.002971,               0.002971,               0.002971
                     74,                0.45676,                0.33109,                0.89113,                0.99652,                0.98939,                0.99329,                0.94266,                0.31329,                 0.1614,                0.81816,               0.002872,               0.002872,               0.002872
                     75,                0.44704,                0.32692,                0.88875,                0.99586,                0.98893,                 0.9934,                0.94354,                0.31213,                  0.161,                0.81813,               0.002773,               0.002773,               0.002773
                     76,                0.44458,                0.32275,                0.88443,                0.99583,                 0.9891,                0.99341,                0.94338,                 0.3114,                0.16021,                0.81748,               0.002674,               0.002674,               0.002674
                     77,                0.44425,                0.32715,                0.88508,                0.99581,                0.98951,                0.99339,                0.94413,                0.31036,                0.15969,                0.81696,               0.002575,               0.002575,               0.002575
                     78,                0.44437,                0.32498,                0.88565,                0.99584,                 0.9898,                0.99339,                0.94452,                0.30887,                0.15856,                0.81675,               0.002476,               0.002476,               0.002476
                     79,                0.43857,                0.31752,                0.88367,                0.99567,                0.98968,                 0.9934,                0.94502,                0.30774,                0.15834,                0.81624,               0.002377,               0.002377,               0.002377
                     80,                0.44113,                0.32186,                0.88635,                0.99585,                 0.9896,                 0.9934,                0.94522,                0.30656,                0.15823,                0.81563,               0.002278,               0.002278,               0.002278
                     81,                0.43634,                0.31264,                0.88103,                  0.996,                 0.9895,                0.99342,                0.94627,                0.30539,                0.15723,                  0.815,               0.002179,               0.002179,               0.002179
                     82,                0.43426,                0.31884,                0.88097,                0.99597,                0.98963,                0.99338,                0.94636,                0.30418,                0.15748,                0.81468,                0.00208,                0.00208,                0.00208
                     83,                0.43557,                0.32055,                0.88282,                0.99578,                0.98969,                0.99347,                0.94667,                0.30355,                0.15694,                0.81473,               0.001981,               0.001981,               0.001981
                     84,                0.42823,                0.30873,                0.88054,                0.99557,                0.98988,                0.99345,                0.94703,                0.30271,                 0.1562,                0.81454,               0.001882,               0.001882,               0.001882
                     85,                0.42186,                0.30939,                0.87839,                0.99595,                0.98942,                0.99347,                0.94663,                0.30176,                0.15571,                0.81439,               0.001783,               0.001783,               0.001783
                     86,                0.42222,                0.30648,                0.87507,                0.99596,                0.98951,                0.99349,                 0.9469,                0.30087,                0.15539,                0.81396,               0.001684,               0.001684,               0.001684
                     87,                0.41826,                 0.3032,                0.87655,                0.99627,                0.98911,                 0.9935,                0.94724,                0.30025,                0.15497,                0.81376,               0.001585,               0.001585,               0.001585
                     88,                0.41923,                0.30233,                0.87523,                0.99638,                0.98911,                0.99352,                0.94738,                0.29938,                0.15468,                0.81333,               0.001486,               0.001486,               0.001486
                     89,                0.41932,                0.30416,                0.87521,                 0.9965,                 0.9892,                0.99353,                0.94777,                0.29855,                 0.1541,                0.81293,               0.001387,               0.001387,               0.001387
                     90,                0.41664,                0.30115,                0.87195,                0.99651,                0.98896,                0.99355,                0.94779,                0.29776,                0.15395,                0.81252,               0.001288,               0.001288,               0.001288
                     91,                0.37518,                0.20474,                0.83996,                0.99653,                0.98964,                0.99355,                0.94781,                0.29722,                0.15333,                0.81219,               0.001189,               0.001189,               0.001189
                     92,                0.36623,                0.19939,                0.83827,                0.99658,                0.98959,                0.99358,                 0.9482,                0.29646,                0.15286,                0.81198,                0.00109,                0.00109,                0.00109
                     93,                0.36944,                0.20023,                0.84023,                0.99691,                0.98925,                0.99361,                0.94875,                0.29572,                0.15269,                0.81175,               0.000991,               0.000991,               0.000991
                     94,                0.35984,                0.19738,                0.83486,                  0.997,                0.98922,                0.99361,                0.94931,                0.29492,                0.15248,                0.81145,               0.000892,               0.000892,               0.000892
                     95,                0.36371,                0.20102,                0.83483,                0.99706,                 0.9893,                0.99362,                0.94956,                0.29429,                0.15252,                0.81128,               0.000793,               0.000793,               0.000793
                     96,                0.35448,                0.19344,                0.83217,                0.99709,                0.98935,                0.99363,                0.94958,                0.29358,                 0.1521,                0.81101,               0.000694,               0.000694,               0.000694
                     97,                0.35221,                0.19241,                0.83272,                0.99707,                0.98943,                0.99364,                0.95013,                  0.293,                0.15202,                0.81079,               0.000595,               0.000595,               0.000595
                     98,                 0.3483,                0.18925,                0.83257,                0.99695,                0.98958,                0.99366,                0.95037,                 0.2924,                0.15179,                0.81057,               0.000496,               0.000496,               0.000496
                     99,                0.34378,                 0.1887,                0.82666,                0.99697,                0.98958,                0.99367,                0.95007,                0.29188,                0.15161,                0.81031,               0.000397,               0.000397,               0.000397
                    100,                0.34797,                0.19024,                0.82945,                0.99687,                0.98978,                0.99368,                0.95007,                0.29127,                 0.1511,                0.81008,               0.000298,               0.000298,               0.000298
